Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
627;19700187610;"Pedagogies";journal;"15544818, 1554480X";0,367;Q2;13;29;62;1558;53;58;0,88;53,72;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2020";"Education (Q2)"
628;21100448939;"Journal of Applied Research in Higher Education";journal;"17581184, 20507003";0,366;Q2;11;118;121;6175;140;118;1,08;52,33;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2009-2020";"Education (Q2)"
629;21100229214;"Malaysian Journal of Learning and Instruction";journal;"21802483, 16758110";0,366;Q2;5;20;67;1052;86;67;1,12;52,60;Malaysia;Asiatic Region;"Universiti Utara Malaysia Press";"2012-2019";"Cultural Studies (Q1); Education (Q2); Psychology (miscellaneous) (Q3)"
630;21100898619;"International Journal for Research in Vocational Education and Training";journal;"21978646, 21978638";0,364;Q3;7;8;47;397;54;47;0,80;49,63;Germany;Western Europe;"";"2014-2019";"Education (Q3)"
631;21100887421;"Journal of Counselor Leadership and Advocacy";journal;"23267178";0,364;Q2;6;16;45;685;33;44;0,46;42,81;United States;Northern America;"Taylor and Francis Ltd.";"2014-2020";"Education (Q2); Applied Psychology (Q3); Clinical Psychology (Q3); Psychiatry and Mental Health (Q3)"
632;21100788924;"African Journal of Research in Mathematics, Science and Technology Education";journal;"18117295, 24697656";0,363;Q3;14;34;92;880;65;90;0,76;25,88;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1997-2020";"Engineering (miscellaneous) (Q1); Computer Science Applications (Q3); Education (Q3); Mathematics (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3)"
633;21100784205;"Revista de la Educacion Superior";journal;"23959037, 01852760";0,362;Q3;6;24;83;805;51;80;0,57;33,54;Mexico;Latin America;"Asociacion Nacional de Universidades e Instituciones de Educacion Superior A.C";"2014-2019";"Education (Q3)"
634;5000153601;"Journal of Teaching in Social Work";journal;"15407349, 08841233";0,361;Q3;25;37;107;1255;84;101;0,73;33,92;United States;Northern America;"Routledge";"1987-2020";"Sociology and Political Science (Q2); Education (Q3); Social Work (Q3)"
635;21100903415;"Journal of Professional Capital and Community";journal;"20569548, 20569556";0,360;Q3;2;25;21;1434;19;20;0,95;57,36;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2018-2020";"Communication (Q2); Education (Q3); Social Psychology (Q3)"
636;21100897170;"Power and Education";journal;"17577438";0,358;Q3;12;24;52;1291;49;51;0,49;53,79;United Kingdom;Western Europe;"SAGE Publications Ltd";"2009-2020";"Sociology and Political Science (Q2); Education (Q3)"
637;21100900274;"AEM Education and Training";journal;"24725390";0,356;Q3;5;57;120;1341;109;93;1,17;23,53;United States;Northern America;"John Wiley and Sons Inc.";"2017-2020";"Emergency Medicine (Q2); Emergency Nursing (Q2); Education (Q3)"
638;19700187614;"Journal of Latinos and Education";journal;"1532771X, 15348431";0,356;Q3;13;82;122;3714;78;87;0,72;45,29;United States;Northern America;"Routledge";"2010-2020";"Cultural Studies (Q1); Education (Q3)"
639;21100305243;"Australasian Journal of Early Childhood";journal;"18369391";0,355;Q3;10;34;81;1238;57;74;0,77;36,41;Australia;Pacific Region;"Early Childhood Australia";"2010-2015, 2017-2020";"Developmental and Educational Psychology (Q3); Education (Q3)"
640;19700188157;"Education 3-13";journal;"14757575, 03004279";0,355;Q3;22;120;183;5896;160;172;0,88;49,13;United States;Northern America;"Routledge";"1970, 1973-2020";"Education (Q3); Life-span and Life-course Studies (Q3)"
641;28204;"Journal of Continuing Education in Nursing";journal;"00220124, 19382472";0,355;Q3;39;109;332;1565;236;290;0,70;14,36;United States;Northern America;"Slack Incorporated";"1970-2020";"Nursing (miscellaneous) (Q2); Education (Q3); Review and Exam Preparation (Q4)"
642;21100925880;"Art Education";journal;"23255161, 00043125";0,354;Q3;20;52;158;831;64;135;0,27;15,98;United Kingdom;Western Europe;"Routledge";"1996-2020";"Visual Arts and Performing Arts (Q1); Education (Q3)"
643;19700182115;"Education as Change";journal;"19479417, 16823206";0,354;Q3;12;18;91;942;83;84;0,78;52,33;South Africa;Africa;"UNISA press";"2008-2019";"Education (Q3)"
644;12045;"Interface: Comunicacao, Saude, Educacao";journal;"18075762, 14143283";0,354;Q3;19;161;393;4441;183;338;0,45;27,58;Brazil;Latin America;"Fundacao UNI Botucatu/UNESP";"1980, 2004, 2007-2020";"Communication (Q2); Education (Q3); Health (social science) (Q3)"
